id,nombre,partidos_jugados,partidos_titular,goles,asistencias,tarjeta_amarilla,edad,altura,valor,rating,posicion
0,Alberto Varo,34,34,21,1,2,31,191.0,174640.0,59,Portero
2,Dani Parra,5,4,3,0,1,24,188.0,91220.0,44,Portero
4,Joan Oriol,37,36,1,3,9,37,175.0,119000.0,62,Lateral Izquierdo
5,P. Trigueros,37,37,5,1,6,31,188.0,217500.0,57,Defensa Central
6,Nacho González,31,31,2,0,8,29,185.0,340340.0,61,Defensa Central
7,Pol Domingo,29,28,0,0,5,24,180.0,392580.0,57,Lateral Derecho
8,Unai Dufur,18,7,0,0,0,25,187.0,310340.0,54,Defensa Central
9,Alex Tirlea,19,10,0,0,2,24,182.0,161330.0,49,Lateral Derecho
11,Iker Recio,12,3,0,1,1,23,184.0,134810.0,51,Defensa Central
12,B. Martínez,36,34,1,6,5,29,178.0,293610.0,56,Mediocentro
13,Óscar Sanz,23,15,1,0,9,24,183.0,344470.0,54,Mediocentro
14,M. Montalvo,32,17,0,3,5,22,180.76900365482658,328500.0,53,Mediocentro
15,A. Gorostidi,31,12,1,0,9,28,185.0,244780.0,49,Mediocentro Defensivo
18,Pablo Fernández,37,36,7,1,8,27,192.0,584140.0,60,Delantero Centro
19,Jaume Jardí,37,31,7,5,5,22,175.0,244070.0,45,Extremo Derecho
20,Marc Fernández,35,16,5,1,4,34,179.0,355210.0,61,Extremo Izquierdo
21,Andy Escudero,36,30,4,3,3,24,176.0,377980.0,53,Extremo Izquierdo
22,Alan Godoy,17,10,3,1,4,21,178.0,262160.0,49,Delantero Centro
23,David Concha,23,13,2,2,4,27,179.0,429030.0,51,Extremo Izquierdo
24,Álex Mula,16,8,0,1,3,27,178.0,976470.0,55,Extremo Izquierdo
25,G. Santamaría,22,2,0,0,2,29,176.0,507910.0,55,Delantero Centro
26,Mario Rodríguez,18,4,1,0,0,27,180.0,231400.0,51,Extremo Izquierdo
27,Marc Álvarez,4,0,0,0,0,23,175.0,194940.0,46,Extremo Izquierdo
29,M. Pochettino,6,0,0,0,0,23,180.0,106590.0,34,Extremo Derecho
30,Sergi Puig,33,32,40,0,2,25,187.0,134900.0,49,Portero
32,Pere Joan,6,5,7,0,1,22,193.0,38810.0,39,Portero
34,Gaizka Martínez,34,34,2,2,3,27,190.0,224310.0,58,Defensa Central
35,M. Etxeberría,33,30,1,1,6,29,178.0,228820.0,55,Lateral Derecho
36,Antxón Jaso,18,18,0,0,6,26,186.0,209250.0,51,Defensa Central
37,Álvaro Mateo,31,25,1,0,3,27,174.0,208390.0,56,Lateral Izquierdo
38,Mirapeix,22,15,0,0,6,24,187.0,193930.0,53,Defensa Central
39,Alex Carbonell,31,15,4,0,3,23,172.0,84310.0,39,Lateral Derecho
40,R. Corral,9,3,0,0,1,26,182.0,411630.0,49,Lateral Izquierdo
41,Mario Camero,6,6,0,0,0,20,178.0,29050.0,40,Defensa Central
42,Gorka Garai,32,28,1,0,4,27,179.0,430160.0,54,Mediocentro
43,Jon Guruzeta,35,32,2,9,7,24,185.0,123090.0,42,MP
44,Armando,32,26,0,2,8,30,179.0,282010.0,55,Mediocentro Defensivo
45,Álvaro Gete,33,16,1,1,4,23,182.0,180180.0,50,Mediocentro
46,Julen Azkue,9,7,1,0,0,28,187.0,260430.0,52,Mediocentro
47,Kepa Uriarte,17,5,0,0,1,22,184.0,91220.0,39,Extremo Izquierdo
48,A. Del Rio,4,0,0,0,0,21,180.78831085064735,39430.0,29,Mediocentro
50,A. Aranzabe,37,35,6,5,2,26,177.0,207580.0,52,Extremo Izquierdo
51,Leandro Martínez,36,23,8,0,5,30,175.0,361310.0,58,Extremo Izquierdo
52,Kaxe,16,10,3,0,1,30,183.0,340850.0,51,Delantero Centro
53,Ibai Sanz,29,11,4,0,4,20,183.0,149440.0,48,Delantero Centro
54,Josu Ozkoidi,4,0,0,0,1,34,171.0,112100.0,49,Extremo Izquierdo
55,Dopi,15,4,0,0,4,29,182.0,167030.0,45,Delantero Centro
56,Iván Buigues,34,34,20,0,1,27,187.0,113890.0,54,Portero
58,Pelón,33,32,0,1,9,29,187.0,203390.0,55,Defensa Central
59,Góngora,33,26,0,5,5,35,185.0,42120.0,57,Lateral Izquierdo
60,Blas,27,25,0,3,11,27,183.0,84210.0,52,Lateral Derecho
61,Ebuka,27,21,1,0,3,23,185.0,108510.0,51,Lateral Izquierdo
62,I. Athuman,22,21,2,1,6,29,185.0,89340.0,46,Defensa Central
63,José Damián,4,3,0,0,0,21,178.0,24880.0,41,Lateral Izquierdo
64,Mario Abenza,34,33,2,0,4,28,184.0,190720.0,53,Mediocentro
65,Tropi,33,33,2,0,7,29,177.0,287140.0,54,Mediocentro
66,J. Rydstrand,17,13,1,1,3,28,173.0,91500.0,51,Mediocentro
68,S. Baradji,22,8,1,1,7,24,180.0,41480.0,46,Mediocentro
69,M. Baeza,15,5,1,0,3,23,180.0,58720.0,42,MP
70,S. Emaná,15,12,3,0,2,30,181.0,264510.0,55,Delantero Centro
71,Isi Ros,32,27,2,2,10,28,168.0,241120.0,51,Extremo Izquierdo
72,Karim Aboubakar,11,3,2,0,0,28,178.0,716660.0,57,Delantero Centro
73,Aitor Pons,31,19,3,2,2,33,177.0,103560.0,54,Delantero Centro
74,Francis Ferrón,32,17,6,1,8,34,184.0,189430.0,53,Delantero Centro
75,Rubén Solano,14,9,1,0,0,31,181.0,163890.0,50,Delantero Centro
76,Mawi,9,7,0,0,4,31,174.0,192970.0,49,Extremo Izquierdo
77,Víctor Fenoll,14,5,0,0,1,31,172.0,62200.0,48,Extremo Derecho
78,D. Stamatakis,24,24,32,0,1,21,191.0,69900.0,39,Portero
79,Pablo Valencia,12,12,16,0,3,23,188.0,222500.0,49,Portero
80,Darío Ramos,3,2,5,0,1,24,191.0,182690.0,46,Portero
81,Guillem Molina,34,34,1,1,4,24,183.0,419900.0,57,Lateral Derecho
82,Jorge Moreno,34,33,1,2,4,22,184.0,635200.0,56,Defensa Central
83,I. Garriz,37,35,0,0,5,23,189.0,157560.0,49,Defensa Central
